,precision,recall,f1-score,support
0,0.9430250155790973,0.99315582223889,0.9674414356819946,10666.0
1,0.8137755102040817,0.33263816475495306,0.4722427831236121,959.0
accuracy,0.9386666666666666,0.9386666666666666,0.9386666666666666,0.9386666666666666
macro avg,0.8784002628915895,0.6628969934969215,0.7198421094028034,11625.0
weighted avg,0.9323626262754723,0.9386666666666666,0.9265902092042752,11625.0
roc_auc,0.8470946535305486,,,
